province,municipality,rcpc_incident_records,rcpc_incident_points,rcpc_commodities,rcpc_top_commodity,rcpc_top_pest_family,rcpc_latest_year,rcpc_recent_year_start,rcpc_recent_year_end,rcpc_recent_years,rcpc_latest_report_date,rcpc_total_planted_area_ha,rcpc_monitored_area_ha,rcpc_affected_area_ha,rcpc_treated_area_ha,rcpc_untreated_area_ha,rcpc_treatment_gap_ha,rcpc_affected_farmers,rcpc_avg_infestation_pct,rcpc_max_infestation_pct,rcpc_avg_severity,rcpc_high_severity_records,rcpc_recent_records,rcpc_recent_affected_area_ha,rcpc_recent_affected_farmers,rcpc_recent_treatment_gap_ha,rcpc_rice_affected_area_ha,rcpc_corn_affected_area_ha,rcpc_hvc_affected_area_ha,rcpc_cassava_affected_area_ha,rcpc_rice_records,rcpc_corn_records,rcpc_hvc_records,rcpc_cassava_records,rcpc_pest_pressure_score,rcpc_surveillance_priority_score,rcpc_response_gap_score,rcpc_risk_class
Cagayan,Abulug,45,45,corn; rice,corn,Fall Armyworm,2025,2024,2025,2024-2025,,7495.97,7250.12,1028.65,907.85,120.8,120.8,708,21.29,100,5.18,7,22,747.95,528,120.8,349,679.65,0,0,11,34,0,0,54.53,77.04,21.06,Critical
Cagayan,Alcala,34,33,corn; rice,corn,Fall Armyworm,2025,2024,2025,2024-2025,,2127.9,1670.88,535.4,535.4,0,0,250,13.35,32,3,0,3,94,118,0,29.7,505.7,0,0,6,28,0,0,29.64,47.49,0,Moderate
Cagayan,Allacapan,14,14,rice; corn,rice,Blast/Blight/Spot,2026,2025,2026,2025-2026,,290.8,370,67,67,0,0,13,13.1,63.64,3.33,2,3,19,12,0,42,25,0,0,10,4,0,0,15.72,19.47,0,Watchlist
Cagayan,Amulung,82,81,corn; rice,corn,Fall Armyworm,2026,2025,2026,2025-2026,,10041.34,4196,1138.69,1135.09,23.6,23.6,754,20.55,100,5.54,24,43,700.64,608,23.6,259.32,879.37,0,0,36,46,0,0,60.66,82.3,4.06,Critical
Cagayan,Aparri,6,6,rice; corn,rice,Stem/Shoot/Fruit Borer,2026,2025,2026,2025-2026,,1452.11,395.69,344.07,344.07,0,0,101,26.48,58,3,1,2,25,3,0,319.07,25,0,0,4,2,0,0,26.82,20.95,0,Watchlist
Cagayan,Appari,3,3,corn,corn,Fall Armyworm,2020,2019,2020,2019-2020,,82.75,82.75,2.5,2.5,0,0,0,5,5,0,0,3,2.5,0,0,0,2.5,0,0,0,3,0,0,2.95,3.08,0,Watchlist
Cagayan,Baggao,42,41,rice; corn,rice,Plant Hopper,2025,2024,2025,2024-2025,,1621.98,1722.1,1089.74,1089.74,0,0,617,19.65,50,3.83,2,12,525.08,471,0,618.75,470.99,0,0,26,16,0,0,52.33,78.55,0,Critical
Cagayan,Ballesteros,67,66,rice,rice,Plant Hopper,2025,2024,2025,2024-2025,,10397.09,1792.41,533.78,475.25,62.9,62.9,612,11.4,50,3.47,2,15,222.15,158,62.9,533.79,0,0,0,67,0,0,0,37.86,64.25,12.38,High
Cagayan,Buguey,39,38,corn; rice,corn,Fall Armyworm,2026,2025,2026,2025-2026,,4741.35,3421.8,970.3,873.75,89.85,89.85,253.4,26.87,74,4.96,15,11,269.3,132,71.85,424.58,545.72,0,0,18,21,0,0,55.18,76.76,13.99,Critical
Cagayan,Camalaniugan,14,14,rice; corn,rice,Plant Hopper,2025,2024,2025,2024-2025,,1073.81,983.59,114.95,99.95,0,0,72,17.49,55,5.4,2,5,15.85,7,0,84.25,30.7,0,0,11,3,0,0,22.26,18.48,0,Watchlist
Cagayan,Claveria,17,16,rice,rice,Bacterial Leaf Blight,2025,2024,2025,2024-2025,,1541.43,1145.51,636.13,321.04,315.09,315.09,377,29.71,65,8.33,9,9,500.05,334,315.09,636.13,0,0,0,17,0,0,0,53.44,76.55,53.14,Critical
Cagayan,Enrile,76,76,rice; corn,rice,Fall Armyworm,2025,2024,2025,2024-2025,,8360.7,5529.78,824.13,804.13,20,20,484,25.87,90,5,12,2,25,25,20,323.78,500.35,0,0,39,37,0,0,46.52,36.56,3.61,Moderate
Cagayan,Gattaran,38,38,rice; corn,rice,Plant Hopper,2025,2024,2025,2024-2025,,5336.24,1654.54,436.36,417.11,6,6,563,22.84,95,5.13,5,23,264.16,456,6,204.94,231.42,0,0,23,15,0,0,42.67,68.12,1.24,High
Cagayan,Gonzaga,252,249,rice; corn; hvc,rice,Fall Armyworm,2026,2025,2026,2025-2026,,39016.97,21781.39,2851.64,2295.76,560.64,560.64,1996,21.73,100,3.69,45,93,1081.18,689,463.96,2419.76,421.23,10.65,0,163,72,17,0,82.14,91.96,57.95,Critical
Cagayan,Iguig,59,59,rice; corn,rice,Blast/Blight/Spot,2025,2024,2025,2024-2025,,5904.86,3983.68,915.05,868.55,40,40,797,22.08,90,3.53,5,19,245.9,179,0,546.47,368.58,0,0,43,16,0,0,51.07,72.57,3.09,High
Cagayan,Lal-lo,33,33,rice; corn,rice,Blast/Blight/Spot,2022,2021,2022,2021-2022,,635.23,460.41,277.66,248.18,2,2,129,22.64,100,0,2,31,276.36,129,2,212.46,65.2,0,0,26,7,0,0,30.17,59.21,0.48,High
Cagayan,Lallo,18,18,rice; corn,rice,Rodents,2026,2025,2026,2025-2026,,1285.38,1081.46,422.08,414.08,8,8,406,23.75,50,3.83,3,15,333.26,289,8,375.49,46.59,0,0,16,2,0,0,38.63,71.39,1.67,High
Cagayan,Lasam,45,45,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,3474.88,2563.89,810.89,634.24,176.65,176.65,607,23.35,75,5.29,8,14,429.9,343,176.65,424.66,386.23,0,0,28,17,0,0,51.39,78.13,31.94,Critical
Cagayan,Pamplona,20,20,rice; corn,rice,Fall Armyworm,2025,2024,2025,2024-2025,,3369.63,1527.83,1005.46,832.87,172.59,172.59,710,23.6,80,5,4,14,950.23,668,172.59,487.82,517.64,0,0,10,10,0,0,52.41,78.58,30.18,Critical
Cagayan,Pe?a Blanca,3,3,rice,rice,Rbb,2022,2021,2022,2021-2022,,72.8,12.8,12.8,12.8,0,0,8,8.33,10,0,0,3,12.8,8,0,12.8,0,0,0,3,0,0,0,5.23,7.64,0,Watchlist
Cagayan,Penablanca,3,3,corn,corn,Aphids/Scale/Mealybug,2026,2025,2026,2025-2026,,207,400,400,400,0,0,75,10,10,5,0,3,400,75,0,0,400,0,0,0,3,0,0,31.8,55.19,0,High
Cagayan,Pe�a Blanca,15,15,corn,corn,Fall Armyworm,2023,2022,2023,2022-2023,,1385,1385,206,156,50,50,68,14.6,80,0,1,5,147,68,50,0,206,0,0,0,15,0,0,18.8,36.16,13.57,Moderate
Cagayan,Piat,63,62,corn; rice,corn,Fall Armyworm,2023,2022,2023,2022-2023,,5800.46,5730.96,367.95,367.95,0,0,250,25.14,100,0,13,5,91.9,52,0,32.4,335.55,0,0,5,58,0,0,29.91,38.15,0,Moderate
Cagayan,Rizal,22,22,corn; rice,corn,Fall Armyworm,2025,2024,2025,2024-2025,,855.9,890.4,289.5,289.5,0,0,260,35.23,95,4.5,9,8,129,178,0,28,261.5,0,0,3,19,0,0,38.41,51.19,0,Moderate
Cagayan,San Mariano,1,1,corn,corn,Fall Armyworm,2025,2024,2025,2024-2025,,20,5,5,0,5,5,2,100,100,5,1,1,5,2,5,0,5,0,0,0,1,0,0,28.9,15.25,25.75,Watchlist
